"Zoznam webových sídiel, ku ktorým boli vydané príkazy súdu na zamedzenie prístupu k webovému sídlu, 
zostavený dňa 27. 06. 2024";;;;
Zoznam má informatívny charakter. Povinnosť zamedziť prístup k webovému sídlu vzniká až doručením príkazu súdu poskytovateľovi internetu. Príkazy súdu uvedené v zozname nemusia byť ešte v čase zverejnenia doručené poskytovateľovi internetu. Zoznam neobsahuje príkazy súdu, ktoré boli zrušené. Zoznam neobsahuje príkazy súdu k blokovaniu účtov.;;;;
;web;zamedzenie v rozsahu domény;príkaz súdu č.;príkaz súdu zo dňa
71;https://mr-gamble.com;mr-gamble.com;2Ntn/5/2021;15.3.2021
72;https://spinsvilla.com;spinsvilla.com;3Ntn/4/2021;15.3.2021
73;https://kingcasinobonus.co.uk;kingcasinobonus.co.uk;2Ntn/4/2021;15.3.2021
74;https://casinova.org;casinova.org;3Ntn/3/2021;16.3.2021
75;https://bet-stavky.com;bet-stavky.com;4Ntn/6/2021;17.3.2021
76;https://betnox.com;betnox.com;3Ntn/5/2021;17.3.2021
77;https://kodbonusu-sk.com;kodbonusu-sk.com;2Ntn/6/2021;19.3.2021
78;http://stavky-home.com;stavky-home.com;1Ntn/3/2021;19.3.2021
79;https://www.cybercasinoindex.com;cybercasinoindex.com;3Ntn/6/2021;14.4.2021
80;https://www.minimumdepositcasinos.org;minimumdepositcasinos.org;3Ntn/7/2021;14.4.2021
81;https://casinosanalyzer.com;casinosanalyzer.com;2Ntn/8/2021;15.4.2021
82;https://www.freespinsgames.com;freespinsgames.com;4Ntn/7/2021;19.4.2021
83;https://www.casinoslovensko.net;casinoslovensko.net;2Ntn/9/2021;25.5.2021
84;https://globusbet.com;globusbet.com;3Ntn/8/2021;28.5.2021
85;https://www.kasinosk.net;kasinosk.net;4Ntn/9/2021;28.5.2021
86;https://www.onlineslovakruleta.com;onlineslovakruleta.com;2Ntn/10/2021;17.6.2021
87;https://www.casinoskonline.com;casinoskonline.com;4Ntn/10/2021;21.6.2021
88;https://onlinekasinoslovensko.com;onlinekasinoslovensko.com;3Ntn/9/2021;23.6.2021
89;https://www.casinohryonline.net;casinohryonline.net;1Ntn/5/2021;23.6.2021
90;https://najlepsiecasinoonline.com;najlepsiecasinoonline.com;4Ntn/12/2021;20.8.2021
91;https://casinobigstar.com;casinobigstar.com;2Ntn/12/2021;24.8.2021
92;https://www.casinoonlinesk.net;casinoonlinesk.net;1Ntn/6/2021;24.8.2021
93;https://slovenskeonlinecasino.net;slovenskeonlinecasino.net;4Ntn/13/2021;25.8.2021
94;https://www.onlinecasinoslovensko.net;onlinecasinoslovensko.net;4Ntn/11/2021;25.8.2021
95;https://onlinecasinosk.com;onlinecasinosk.com;3Ntn/10/2021;26.8.2021
96;https://www.onlineslovakcasino.com;onlineslovakcasino.com;1Ntn/10/2021;3.10.2021
97;https://www.playamo.com;playamo.com;3Ntn/13/2021;18.10.2021
98;https://wazamba855.com;wazamba855.com;3Ntn/11/2021;19.10.2021
99;https://www.najlepsiecasino-sk.com;najlepsiecasino-sk.com;1Ntn/7/2021;19.10.2021
100;https://casinoslovensko10.com;casinoslovensko10.com;3Ntn/12/2021;19.10.2021
101;https://onlineskcasino.com;onlineskcasino.com;4Ntn/14/2021;20.10.2021
102;https://casinobonus-sk.com;casinobonus-sk.com;1Ntn/8/2021;25.10.2021
103;https://quatro3.gameassists.co.uk;quatro3.gameassists.co.uk;2Ntn/14/2021;25.10.2021
104;https://22bet.com;22bet.com;2Ntn/15/2021;26.11.2021
105;https://www.onlinekasinosk.com;onlinekasinosk.com;3Ntn/15/2021;7.12.2021
106;https://www.ruletaslovensko.com;ruletaslovensko.com;3Ntn/14/2021;7.12.2021
107;https://www.onlinecasinoslovakia.net;onlinecasinoslovakia.net;2Ntn/16/2021;7.12.2021
108;https://superruleta.com;superruleta.com;4Ntn/16/2021;7.12.2021
109;https://www.casinohry.net;casinohry.net;4Ntn/15/2021;8.12.2021
110;https://betworld247.com;betworld247.com;1Ntn/1/2022;3.2.2022
111;https://www.365488.com;365488.com;1Ntn/4/2022;16.2.2022
112;https://everygame.eu;everygame.eu;4Ntn/6/2022;17.2.2022
113;https://onlineskruleta.com;onlineskruleta.com;4Ntn/4/2022;17.2.2022
114;https://onlinecasinohry.com;onlinecasinohry.com;3Ntn/4/2022;17.2.2022
115;https://casinohrysk.com;casinohrysk.com;4Ntn/5/2022;21.2.2022
116;https://slotv.com;slotv.com;1Ntn/6/2022;25.3.2022
117;https://kika-casino-sk.net;kika-casino-sk.net;1Ntn/9/2022;28.3.2022
118;https://frankcasino.com;frankcasino.com;3Ntn/7/2022;28.3.2022
119;https://www.casitsu.com;casitsu.com;4Ntn/7/2022;28.3.2022
120;https://www.bitstarz.com;bitstarz.com;3Ntn/6/2022;28.3.2022
121;https://www.staycasino.com;staycasino.com;1Ntn/7/2022;29.3.2022
122;https://www.365-858.com;365-858.com;4Ntn/8/2022;30.3.2022
123;http://chcibonus.com;chcibonus.com;3Ntn/8/2022;31.3.2022
124;https://www.popularneonlinekasino.com;popularneonlinekasino.com;1Ntn/8/2022;31.3.2022
125;https://www.365838.com;365838.com;1Ntn/5/2022;31.3.2022
126;https://www.365365880.com;365365880.com;4Ntn/9/2022;6.4.2022
127;https://mostbet.com;mostbet.com;3Ntn/10/2022;18.5.2022
128;http://cloudbet.com;cloudbet.com;3Ntn/9/2022;18.5.2022
129;https://www.goldencrowncasino.com;goldencrowncasino.com;4Ntn/10/2022;18.5.2022
130;https://vespercasino.com;vespercasino.com;3Ntn/11/2022;18.5.2022
131;https://www.slotman.com;slotman.com;4Ntn/11/2022;23.5.2022
132;https://1xbit.com;1xbit.com;1Ntn/13/2022;24.5.2022
133;https://www.kosmonautcasino.com;kosmonautcasino.com;1Ntn/10/2022;24.5.2022
134;https://www.lokicasino.com;lokicasino.com;1Ntn/11/2022;25.5.2022
135;https://www.najlepsieonlinekasina.com;najlepsieonlinekasina.com;4Ntn/14/2022;26.5.2022
136;https://nomini2.com;nomini2.com;4Ntn/12/2022;26.5.2022
137;https://www.gunsbet.com;gunsbet.com;1Ntn/12/2022;27.5.2022
138;https://boomerang-casinos.com;boomerang-casinos.com;4Ntn/13/2022;30.5.2022
139;https://skhra.com;skhra.com;3Ntn/13/2022;12.7.2022
140;https://gamblingorb-sk.com;gamblingorb-sk.com;1Ntn/15/2022;12.7.2022
141;http://najlepsieonlinekasino.com;najlepsieonlinekasino.com;3Ntn/14/2022;12.7.2022
142;https://fortuneclock.com;fortuneclock.com;3Ntn/12/2022;12.7.2022
143;https://onlinecasinoslovensko.co;onlinecasinoslovensko.co;4Ntn/15/2022;13.7.2022
144;https://www.online-casinosk.com;online-casinosk.com;1Ntn/14/2022;13.7.2022
145;https://www.synergycasino.net;synergycasino.net;"3Ntn/16/2022";13.7.2022
146;https://vulkanvegas233.com;vulkanvegas233.com;3Ntn/15/2022;13.7.2022
147;https://www.woocasino.com;woocasino.com;1Ntn/16/2022;13.7.2022
148;https://yukongold3.gameassists.co.uk;yukongold3.gameassists.co.uk;4Ntn/16/2022;18.7.2022
149;https://icecasino.com;icecasino.com;4Ntn/18/2022;20.7.2022
150;https://www.joocasino.com;joocasino.com;4Ntn/20/2022;12.9.2022
151;https://oshi.io;oshi.io;1Ntn/18/2022;12.9.2022
152;https://22betxz.com;22betxz.com;4Ntn/21/2022;13.9.2022
153;https://www.20bet.com;20bet.com;4Ntn/19/2022;13.9.2022
154;https://www.betonline.ag;betonline.ag;3Ntn/19/2022;14.9.2022
155;https://stake.com;stake.com;3Ntn/17/2022;14.9.2022
156;http://gamdom.com;gamdom.com;3Ntn/18/2022;14.9.2022
157;https://www.kajot-casino.com;www.kajot-casino.com;1Ntn/20/2022;5.10.2022
158;https://luxury3.gameassists.co.uk;luxury3.gameassists.co.uk;1Ntn/19/2022;6.10.2022
159;https://megahry.com;megahry.com;4Ntn/22/2022;7.10.2022
160;https://casinorewards.reviews;casinorewards.reviews;4Ntn/23/2022;10.11.2022
161;https://slottica.com;slottica.com;3Ntn/21/2022;10.11.2022
162;https://wazamba77.com;wazamba77.com;4Ntn/24/2022;10.11.2022
163;https://spinbetter.com;spinbetter.com;3Ntn/22/2022;14.11.2022
164;https://nationalcasino.co;nationalcasino.co;1Ntn/21/2022;14.11.2022
165;https://ice-casino34.com;ice-casino34.com;3Ntn/1/2023;16.1.2023
166;https://bizzocasino1.com;bizzocasino1.com;1Ntn/1/2023;16.1.2023
167;https://www.gunsbet35.com;gunsbet35.com;4Ntn/2/2023;17.1.2023
168;https://zodiac3.gameassists.co.uk;zodiac3.gameassists.co.uk;4Ntn/1/2023;19.1.2023
169;https://22bets.me;22bets.me;1Ntn/2/2023;19.1.2023
170;https://bspin.io;bspin.io;3Ntn/2/2023;19.1.2023
171;https://betbeard.com;betbeard.com;1Ntn/4/2023;8.2.2023
172;https://duelbits.com;duelbits.com;4Ntn/4/2023;8.2.2023
173;https://rollingslots.com;rollingslots.com;3Ntn/3/2023;8.2.2023
174;https://www.pin1111.com;pin1111.com;1Ntn/3/2023;13.2.2023
175;https://www.efbet.net;efbet.net;4Ntn/5/2023;14.2.2023
176;https://wildpharao.com;wildpharao.com;4Ntn/3/2023;14.2.2023
177;https://sportsbet.io;sportsbet.io;"1Ntn/5/2023";20.3.2023
178;https://rabona1.com;rabona1.com;3Ntn/6/2023;11.5.2023
179;https://www.campeonbet.com;campeonbet.com;3Ntn/4/2023;11.5.2023
180;https://fezbet1.com;fezbet1.com;4Ntn/7/2023;12.5.2023
181;https://casinia755.com;casinia755.com;4Ntn/8/2023;16.5.2023
182;https://www.688365365.com;688365365.com;3Ntn/7/2023;17.5.2023
183;https://ivibet.com;ivibet.com;4Ntn/6/2023;17.5.2023
184;https://www.bohocasino.com;bohocasino.com;3Ntn/10/2023;30.6.2023
185;https://hybe.com;hybe.com;1Ntn/7/2023;30.6.2023
186;https://www.najlepsieeucasino.com;najlepsieeucasino.com;4Ntn/10/2023;30.6.2023
187;https://www.tsars3.com;tsars3.com;3Ntn/9/2023;30.6.2023
188;https://www.gunsbet39.com;gunsbet39.com;1Ntn/8/2023;3.7.2023
189;https://www.lokicasino35.com;lokicasino35.com;3Ntn/8/2023;3.7.2023
190;https://ice-casino75.com ;ice-casino75.com ;4Ntn/9/2023;3.7.2023
191;https://www.najcasino.com;najcasino.com;4Ntn/11/2023;7.7.2023
192;https://www.playamo39.com;playamo39.com;3Ntn/14/2023;3.10.2023
193;https://bizzocasino3.com;bizzocasino3.com;3Ntn/11/2023;4.10.2023
194;https://boomerang-casino1.com;boomerang-casino1.com;4Ntn/14/2023;4.10.2023
195;https://ice777casino.com;ice777casino.com;1Ntn/9/2023;5.10.2023
196;https://bizzocasino5.com;bizzocasino5.com;3Ntn/12/2023;5.10.2023
197;https://www.wildcasino.ag;wildcasino.ag;3Ntn/13/2023;5.10.2023
198;https://slotsempire.com;slotsempire.com;3Ntn/15/2023;5.10.2023
199;https://divasluckcasino.com;divasluckcasino.com;1Ntn/10/2023;6.10.2023
200;https://bizzocasino4.com;bizzocasino4.com;4Ntn/12/2023;6.10.2023
201;https://drakecasino.eu ;drakecasino.eu ;4Ntn/16/2023;9.10.2023
202;https://aussieplay.com;aussieplay.com;4Ntn/15/2023;9.10.2023
203;https://icecasino73.com;icecasino73.com;4Ntn/13/2023;9.10.2023
204;https://www.ditobet.com;ditobet.com;3Ntn/5/2024;25.3.2024
205;https://25icecasino.com;25icecasino.com;1Ntn/2/2024;25.3.2024
206;https://www.goldenpalacedice.be;goldenpalacedice.be;4Ntn/3/2024;25.3.2024
207;https://www.goldenpalacesports.be;goldenpalacesports.be;4Ntn/4/2024;25.3.2024
208;https://spinbetter1.com;spinbetter1.com;3Ntn/2/2024;25.3.2024
209;https://spinbetter3.com;spinbetter3.com;3Ntn/3/2024;25.3.2024
210;https://spinbetter5.com;spinbetter5.com;4Ntn/2/2024;25.3.2024
211;https://gg.bet;gg.bet;3Ntn/1/2024;25.3.2024
